objectid,title,creator,subjects,date,description,link,archive_link,photo_filename,type,category,related_community,featured_quote,display_template,object_location,image_small,image_thumb
ac001,Syringa Story Map,"Rodriguez, Denessy; Smith, Joe",eviction; water issues; poverty; community; advocacy; UI students,2018-11-14,"As part of her University of Idaho CDIL fellowship, Denessy Rodriguez created a Story Map using Esri software to detail the story of Syringa and compare it against national trends. The Story Map includes a timeline of the park, photos of the park, and Idaho and national maps. ",https://uidaho.maps.arcgis.com/apps/Cascade/index.html?appid=a459d05f5e2c4b5c9cd9e535e0c4afaa,,syringacover.jpg,exhibit,Syringa,cll002,"Syringa Mobile Home park residents illuminate the need for communities and legislators to work toward strategic housing solutions for working-class families; The story of Syringa illustrates the need to preserve mobile home parks and to mitigate impacts of dislocation; In the majority of states, mobile home park residents can be evicted with only a 30-day notice; Many mobile home parks can be found in counties with the highest amount of poverty. ",record,https://uidaho.maps.arcgis.com/apps/Cascade/index.html?appid=a459d05f5e2c4b5c9cd9e535e0c4afaa,/objects/small/syringacover_sm.jpg,/objects/thumbs/syringacover_th.jpg
ac002,Syringa Short Documentary,Isabel Robles; Denessy Rodriguez; Cynthia Ballesteros,syringa; eviction; poor management; stigmatization; UI students,2018,"In 2018, Isabel Robles, Denessy Rodriguez, and Cynthia Ballesteros, three undergradate students at the University of Idaho, collaberated to create a ten minute video detailing the park closure announcement. This video was displayed at the event ""Syringa Speaks,"" where Syringa residents were given the oppurtunity to share their story with the community. ",https://youtu.be/Cfp205Je3D0,,docu.jpg,video,Syringa,cll002,"For many residents, this means a new start at a new life. or others it means leaving a home and starting from scratch at a a late age.",video,https://youtu.be/Cfp205Je3D0,/objects/small/docu_sm.jpg,/objects/thumbs/docu_th.jpg
ac003,"Syringa Property Value, 1999-2015",Lincoln Smith,syringa; eviction,,"By former University of Idaho undergraduate student, Lincoln Smith. This graph displays the property values of Syringa Mobile Home Park lots, and shows their deep decline from 2013 and on, correlating with many of the water problems. ",,,propertyvalue_graph.jpg,,Syringa,cll002,"The year after Syringa's water crisis, the Latah County Assessor's Office reported halving the home values within the park.",image,/objects/propertyvalue_graph.jpg,/objects/small/propertyvalue_graph_sm.jpg,/objects/thumbs/propertyvalue_graph_th.jpg
ac004,Syringa Speaks,,syringa; eviction; ethnography; public sociology; advocacy; UI students,2018-01-29,"On January 29, 2018, the University of Idaho Sociology Department hosted an open forum that offered Syringa residents the oppurtunity to speak about the issues they were experiencing. Three residents, James Ware, Dawn Tachell, and Bob Bonsall volunteered to participate.  Photography and site page provided by Tom Hansen and the organization Moscow Cares.",http://www.moscowcares.net/,https://perma.cc/T5K8-F734,syringaspeaks.jpg,web project,Syringa,cll002,"""We were held hostage. We had no way out.” -- Bob Bonsall",record,http://www.moscowcares.net/,/objects/small/syringaspeaks_sm.jpg,/objects/thumbs/syringaspeaks_th.jpg
ac005,"After Years of Neglect, Mobile Home Park to Close",Staff Report,syringa; eviction,2018-05-25,Moscow-Pullman Daily News details the closure of Syringa. Writer of article is not specified.,http://dnews.com/local/after-years-of-neglect-mobile-home-park-to-close/article_0cd2c5b0-6ef6-522f-a85e-a715496b70e7.html,,closure.jpg,news article,Syringa,cll002,"[A]fter decades of growing a community, the park will close June 5, [2018]. The closure, while economically beneficial for Magar, has stripped residents of their homes and livelihoods.",record,http://dnews.com/local/after-years-of-neglect-mobile-home-park-to-close/article_0cd2c5b0-6ef6-522f-a85e-a715496b70e7.html,/objects/small/closure_sm.jpg,/objects/thumbs/closure_th.jpg
ac006,The Stigma Surrounding Syringa,Garrett Cabeza,syringa,2018-05-25,"Moscow-Pullman Daily News chronicals the reputation that Syringa has had in the Moscow community. The article interviews Principal Investegator, Leontina Hormel. Written by Garrett Cabeza. ",http://dnews.com/local/the-stigma-surrounding-syringa/article_f00c1c1d-f2f5-52cf-869e-cfe939af4a81.html,,stigma.jpg,news article,Syringa,cll002,"""Thankfully, there's generous individuals that are stepping in in this last moment,"" Hormel said. ""But there's definitely been reports of people that say, 'Oh, I can't work with you because you're from that address.' """,record,http://dnews.com/local/the-stigma-surrounding-syringa/article_f00c1c1d-f2f5-52cf-869e-cfe939af4a81.html,/objects/small/stigma_sm.jpg,/objects/thumbs/stigma_th.jpg
ac007,Syringa Eviction,Taylor Viydo,eviction; housing crisis; water issues,2018-04-02,Krem News details the closure of Syringa. Written by Taylor Viyodo.,https://www.krem.com/article/news/local/latah-county/residents-forced-to-move-from-moscow-mobile-home-park-following-settlement-over-bad-water/293-534361013,,strippedhome2.jpg,news article,Syringa,cll002,"In all, more than 90 people living at the Syringa mobile home park filed a lawsuit. They will each get part of that settlement but they will still have to find somewhere new to go.",record,https://www.krem.com/article/news/local/latah-county/residents-forced-to-move-from-moscow-mobile-home-park-following-settlement-over-bad-water/293-534361013,/objects/small/strippedhome2_sm.jpg,/objects/thumbs/strippedhome2_th.jpg
ac008,Searching for somewhere to go,Josh Babcock,eviction; housing crisis; financial challenges,2018-03-01,The Lewiston Tribune featured an article describing the closure of the park and the process of finding a new place to live. Written by Josh Babcock.,https://lmtribune.com/northwest/searching-for-somewhere-to-go/article_f2fe6c3b-87d8-5980-85cd-28adb20ad6af.html,,lmtribune.jpg,news article,Syringa,cll002,Syringa Mobile Home Park to close; residents face challenges trying to find new places to live,record,https://lmtribune.com/northwest/searching-for-somewhere-to-go/article_f2fe6c3b-87d8-5980-85cd-28adb20ad6af.html,/objects/small/lmtribune_sm.jpg,/objects/thumbs/lmtribune_th.jpg
ac009,Everybody Has a Voice,Andrea Levere,community alternatives; resident ownership,2017-02-10,"Prosperity Now, a non-profit organization located in Washington DC, used the NPR article about Syringa to highlight the importance of cooperatively owned mobile home parks and the different organizations that make it possible. Written by Andrea Levere. ",https://prosperitynow.org/blog/everybody-has-voice-transforming-niche-ideas-thriving-communities,,privateprop.jpg,news article,National,cll003,"Although their homes may be modest, residents enjoy life in Park Plaza, in part because of the amenities it offers, but mostly because they feel like the other members of their community are family; the idea of resident ownership came into being in the first place, and how it has taken off into a nationwide, full-scale approach to helping families live better lives; For families feeling the despair that comes with the possibility of losing their homes and their very livelihoods, the opportunity to purchase a community and establish a cooperative transforms this loss into hope, pride and security; ROC USA has proven that with thoughtful partnership and abundant patience, a small idea can blossom into now 200 thriving communities and 12,000 homeowners.",record,https://prosperitynow.org/blog/everybody-has-voice-transforming-niche-ideas-thriving-communities,/objects/small/privateprop_sm.jpg,/objects/thumbs/privateprop_th.jpg
ac010,Syringa on NPR,Daniel Zwerdling,syringa; home ownership; water issues; poor management; ,2016,The story of Syringa was featured on an NPR two-part report on conditions at mobile home parks in the US. The article focuses on what happens when park owners fail to take care of their communities. Written by Daniel Zwerdling.,https://www.npr.org/2016/12/26/502590161/mobile-home-park-owners-can-spoil-an-affordable-american-dream,,nprdawn.jpg,news article,Syringa,cll002,"""If I were to abandon my trailer, there's no place for me to go,"" Tachell says. ""Except into the homeless shelter. I'm not going back there again.""; Whatever happens, it spotlights the biggest problem with manufactured housing communities: The residents are at the owner's mercy when it comes to their daily quality of life;  ""Thirty years ago, it was a nice place to be,"" says Latah County Commissioner Dave McGraw, sitting in his office in the county courthouse in Moscow, Idaho. ""We'd go out for parties and family gatherings, and we used to go swimming at their indoor swimming pool out there. People wouldn't be ashamed to live out there.""",record,https://www.npr.org/2016/12/26/502590161/mobile-home-park-owners-can-spoil-an-affordable-american-dream,/objects/small/nprdawn_sm.jpg,/objects/thumbs/nprdawn_th.jpg
